Unnamed: 0,dep_id,device_id,var_id,var,sol
6837,2,d_26,69,x_69,0
6838,2,t_3,70,x_70,0
6840,2,d_27,71,x_71,0
6841,2,d_13,72,x_72,0
6844,2,d_22,73,x_73,0
6848,2,d_12,74,x_74,0
6857,2,d_5,75,x_75,0
6858,2,t_5,76,x_76,0
6859,2,d_28,77,x_77,0
6862,2,t_10,78,x_78,0
6867,2,d_21,79,x_79,1
6868,2,t_1,80,x_80,0
6872,2,t_6,81,x_81,1
6893,2,d_14,82,x_82,0
6896,2,t_2,83,x_83,0
6897,2,d_16,84,x_84,0
6907,2,d_24,85,x_85,1
6908,2,t_11,86,x_86,0
6940,2,d_31,87,x_87,0
6941,2,d_8,88,x_88,0
6949,2,t_9,89,x_89,0
20869,3,d_12,90,x_90,0
20870,3,d_26,91,x_91,0
20871,3,t_9,92,x_92,0
20872,3,t_1,93,x_93,0
20873,3,d_5,94,x_94,1
20874,3,d_8,95,x_95,0
20876,3,t_4,96,x_96,0
20878,3,d_13,97,x_97,0
20879,3,t_8,98,x_98,0
20880,3,t_7,99,x_99,0
20882,3,d_24,100,x_100,0
20885,3,d_14,101,x_101,0
20886,3,d_27,102,x_102,1
20887,3,t_3,103,x_103,1
20889,3,d_6,104,x_104,0
20891,3,t_6,105,x_105,0
20892,3,t_10,106,x_106,0
20893,3,d_31,107,x_107,0
20894,3,d_0,108,x_108,0
20896,3,t_11,109,x_109,1
20898,3,d_23,110,x_110,0
20900,3,t_2,111,x_111,0
20901,3,d_17,112,x_112,0
20902,3,d_11,113,x_113,0
20904,3,t_12,114,x_114,1
20905,3,d_16,115,x_115,1
20910,3,d_15,116,x_116,0
20913,3,d_25,117,x_117,0
20916,3,t_0,118,x_118,0
20921,3,d_2,119,x_119,0
20922,3,d_3,120,x_120,0
20925,3,d_19,121,x_121,1
20930,3,d_28,122,x_122,0
20933,3,d_21,123,x_123,0
20937,3,d_29,124,x_124,0
20938,3,d_20,125,x_125,0
20941,3,d_4,126,x_126,0
20954,3,d_7,127,x_127,0
20957,3,d_10,128,x_128,0
20973,3,d_1,129,x_129,1
20977,3,d_22,130,x_130,0
20978,3,d_18,131,x_131,0
20979,3,t_5,132,x_132,0
21021,3,d_30,133,x_133,0
21034,3,d_9,134,x_134,0
42071,4,d_24,135,x_135,0
42072,4,d_29,136,x_136,0
42073,4,d_6,137,x_137,0
42074,4,d_1,138,x_138,0
42075,4,d_13,139,x_139,0
42076,4,d_18,140,x_140,1
42077,4,t_8,141,x_141,0
42078,4,t_5,142,x_142,0
42079,4,d_11,143,x_143,0
42080,4,d_8,144,x_144,0
42081,4,d_23,145,x_145,0
42082,4,d_22,146,x_146,0
42083,4,d_30,147,x_147,0
42084,4,d_28,148,x_148,1
42085,4,t_3,149,x_149,0
42086,4,t_9,150,x_150,0
42088,4,d_20,151,x_151,0
42089,4,d_2,152,x_152,1
42090,4,d_12,153,x_153,0
42093,4,t_12,154,x_154,0
42094,4,t_10,155,x_155,0
42097,4,d_0,156,x_156,0
42100,4,d_19,157,x_157,0
42101,4,t_4,158,x_158,0
42102,4,t_6,159,x_159,0
42107,4,d_4,160,x_160,1
42108,4,d_10,161,x_161,1
42110,4,t_1,162,x_162,1
42112,4,d_3,163,x_163,0
42114,4,d_5,164,x_164,0
